idx,name,met,tags
171,"Running curved treadmill, 5.0 to 5.9 mph",11,Running
172,"Running curved treadmill, 7.0 to 7.9 mph",12,Running
173,"Running curved treadmill, 8.0 to 8.9 mph",14,Running
174,"Running curved treadmill, 9.0 to 9.9 mph",16.8,Running
175,"Running, 5.0 - 5.9 mph, 1.0 to 3.0 kg backpack",8.5,Running
176,"Running, 6.0 - 6.9 mph, 1.0 to 3.0 kg backpack",9.5,Running
177,"Running, 7.0 - 7.9 mph, 1.0 to 3.0 kg backpack",9.8,Running
178,"Running, 8.0 - 8.9 mph, 1.0 to 3.0 kg backpack",12,Running
179,"Running, barefoot, 3.5-5.9 mph",7.8,Running
180,"Running, barefoot, 6.0-7.9 mph",12,Running
181,"Running, barefoot, 8.0-8.9 mph",13.5,Running
182,"Running, jogging stroller, indoors, 5 mph",8,Running
183,"Running, jogging stroller, indoors, 6 mph",9,Running
184,"Running, jogging stroller, outdoors, 5 mph",10,Running
185,"Running, jogging stroller, outdoors, 6 mph",11.5,Running
186,"Skipping, 5.5-6.0 mph",11.5,Running
187,Archery,4.3,Sports
188,"Badminton, social singles and doubles, general",5.5,Sports
189,"Basketball, game",8,Sports
190,"Basketball, non-game, general",6,Sports
191,"Basketball, general",7.5,Sports
192,"Basketball, officiating",5.8,Sports
193,"Basketball, shooting baskets",5,Sports
194,"Basketball, drills, practice",9.3,Sports
195,Bowling,3,Sports
196,"Boxing, punching bag",5.8,Sports
197,"Boxing, punching bag, 60 b/min",7,Sports
198,"Boxing, punching bag, 120 b/min",8.5,Sports
199,"Boxing, punching bag, 180 b/min",10.8,Sports
200,"Boxing, simulated boxing round, exercise",9.3,Sports
201,Broomball,7,Sports
202,"Children's games, adults playing  (e.g., hopscotch, 4-square, dodge ball, playground apparatus, t-ball,  tetherball, marbles, jacks, arcade games), moderate effort",5.8,Sports
203,"Coaching, actively playing sport with players",8,Sports
204,"Cricket, batting, bowling, fielding",4.8,Sports
205,Croquet,3.3,Sports
206,Curling,4,Sports
207,"Darts, wall or lawn",2.5,Sports
208,Futsal,7.8,Sports
209,"Fencing, general",6,Sports
210,Floorball,10.5,Sports
211,"Football, touch, flag, general",8,Sports
212,"Football, touch, flag, light effort",4,Sports
213,"Football or baseball, playing catch",2.5,Sports
214,"Frisbee playing, general",3,Sports
215,"Frisbee, ultimate",8,Sports
216,Frisbee golf,3.8,Sports
217,"Golf, general",4.5,Sports
218,"Golf, walking, carrying clubs",4.3,Sports
219,"Golf, miniature, driving range",3.5,Sports
220,"Golf, walking, pulling clubs",4.5,Sports
221,"Golf, using power cart",3.5,Sports
222,"Gymnastics, general",3.8,Sports
223,Hacky sack,4,Sports
224,"Handball, general",12,Sports
225,"High ropes course, multiple elements",4,Sports
226,Hang gliding,3.5,Sports
227,"Hockey, field",7.8,Sports
228,"Hockey, ice, general",8,Sports
229,"Horseback riding, general",5.5,Sports
230,"Horse grooming, maintenance, saddling tasks",4.5,Sports
231,"Horseback riding, trotting",5.8,Sports
232,"Horseback riding, canter or gallop",7.3,Sports
233,"Horseback riding, walking",3.8,Sports
234,"Horseback riding, jumping",9,Sports
235,"Horseback riding, reining",6,Sports
236,"Horseback riding, simulator",2.1,Sports
237,"Horse cart, driving, standing or sitting",1.8,Sports
238,"Horseshoe pitching, quoits",3,Sports
239,Jai alai,12,Sports
240,"Martial Arts, different types, slower pace, novice performers, practice",5.3,Sports
241,"Martial Arts, different types, moderate pace (e.g., judo, jujitsu, karate, kick boxing, tae kwon do, tai-bo, Muay Thai boxing)",10.3,Sports
242,"Taekwondo, combat simulation",14.3,Sports
243,Judo,11.3,Sports
244,Juggling,4,Sports
245,"Kendu, kihon-keiko style, moderate intensity",6.5,Sports
246,"Kendu, kirikaeshi style, high intensity",9.6,Sports
247,"Kendu, kakari keiko style, very high intensity",11.3,Sports
248,Kickball,7,Sports
249,Kung Fu Gymnastics,5.5,Sports
250,Kickboxing,7.3,Sports
251,Lacrosse,8,Sports
252,"Lawn bowling, bocce ball, outdoor",3.3,Sports
253,"Motocross, off-road motor sports, all-terrain vehicle, general",4,Sports
254,Netball,7,Sports
255,Orienteering,9,Sports
256,"Paddleball, casual, general",6,Sports
257,"Paragliding, moderate altitude",1.8,Sports
258,Prusik climbing,6.5,Sports
259,"Polo, on horseback",8,Sports
260,"Race Walking, 3.1 m/s (6.9 mph)",10.3,Sports
261,"Race Walking, 3.7 m/s (8.3 mph)",13.8,Sports
262,"Race Walking, racing speed, 4.0 m/s (8.95 mph)",15.5,Sports
263,"Racquetball, general",7,Sports
264,Rock or mountain climbing,8,Sports
265,"Rock climbing, free boulder",8.8,Sports
266,"Rock climbing, ascending rock, high difficulty",7.3,Sports
267,"Rock climbing, speed climbing, very difficult",10.5,Sports
268,"Rock climbing, ascending or traversing rock, low-to-moderate difficulty",5.8,Sports
269,"Rock climbing, treadwall, 4-6 m/min",10.5,Sports
270,"Rock climbing, treadwall, 7-10 m/min",10.5,Sports
271,"Rock climbing, rappelling,",5,Sports
272,"Rodeo sports, general, light effort",4,Sports
273,"Rodeo sports, general, moderate effort",5.5,Sports
274,"Rodeo sports, general, vigorous effort",7,Sports
275,"Rope jumping, fast pace, 120-160 skips/min",12.3,Sports
276,"Rope jumping, moderate pace, general, 100 to 120 skips/min, 2 foot skip, plain bounce",11.8,Sports
277,"Rope jumping, slow pace, < 100 skips/min, 2 foot skip, rhythm bounce",8.3,Sports
278,"Rope jumping, double under or more",10,Sports
279,"Rugby, union, team, competitive",8.3,Sports
280,"Rugby, touch, non-competitive",6.3,Sports
281,Shuffleboard,3,Sports
282,"Skateboarding, general, moderate effort",5,Sports
283,"Skateboarding, competitive, vigorous effort",6,Sports
284,"Skating, roller",7,Sports
285,"Roller blading, in-line skating, 14.4 km/h (9.0 mph), recreational pace",7.5,Sports
286,"Roller blading, in-line skating, 17.7 km/h (11.0 mph), moderate pace, exercise training",9.8,Sports
287,"Roller blading, in-line skating, 21.0 to 21.7 km/h (13.0 to 13.6 mph), fast pace, exercise training",12.3,Sports
288,"Rollerblading, in-line skating, 24.0 km/h (15.0 mph), maximal effort",15.5,Sports
289,"Skateboard, longboard, 13.3 km/h, slow speed",6.8,Sports
290,"Skateboard, longboard, 16.2 km/h, typical speed",8.3,Sports
291,"Skateboard, longboard, 18.4 km/h, fast speed",10.5,Sports
292,"Skydiving, base-jumping, bungee jumping",3.5,Sports
293,"Soccer, competitive",9.5,Sports
294,"Soccer, casual, general",7,Sports
295,Walking football/soccer,3.5,Sports
296,"Softball or baseball, fast or slow pitch, general, moderate effort",5,Sports
297,"Softball, practice",4,Sports
298,"Softball, officiating",4,Sports
299,"Softball, pitching",6,Sports
300,"Sports spectator, very excited, emotional, physically moving",3.3,Sports
301,Squash,12,Sports
302,"Squash, general",7.3,Sports
303,"Table tennis, ping pong",4,Sports
304,"Tai chi, qi gong, general",3.3,Sports
305,"Tai chi, qi gong, sitting, light effort",1.5,Sports
306,"Tai chi chuan, Yang style",6,Sports
307,"Tennis, general, moderate effort",6.8,Sports
308,"Tennis, general, competitive",8,Sports
309,"Tennis, doubles",6,Sports
310,"Tennis, singles",8,Sports
311,"Tennis, hitting balls, non-game play, moderate effort",5,Sports
312,"Trampoline, recreational",6.3,Sports
313,"Volleyball, competitive, in gymnasium",6,Sports
314,"Volleyball, non-competitive, 6 - 9 member team, general",3,Sports
315,"Volleyball, beach, in sand",8,Sports
316,"Wrestling, competitive (one match = 5 minutes)",6,Sports
317,"Wallyball, general",7,Sports
318,"Track and field (e.g., shot, discus, hammer throw)",4,Sports
319,"Track and field (e.g., high jump, long jump, triple jump, javelin, pole vault)",6,Sports
320,"Track and field (e.g., steeplechase, hurdles)",10,Sports
321,"Climbing hills, no load, 5 to 20% grade, very slow pace",5,Walking
322,"Climbing hills, 15-50 lb load, 1 to 2% grade, slow pace",3.8,Walking
323,"Climbing hills, no load, 1 to 5% grade, moderate-to-brisk pace",5.3,Walking
324,"Climbing hills, no load, 6 to 10% grade, moderate-to-brisk pace",7,Walking
325,"Climbing hills, no load, 11 to 20% grade, slow-to-moderate pace",8.8,Walking
326,"Climbing hills, no load, 4.0 to 5.0 mph, 3 to 5% grade, very fast pace",10,Walking
327,"Climbing hills, no load, steep grade (30%), slow pace (less than 1.2 mph)",8.5,Walking
328,"Climbing hills, no load, very steep grade (30-40%), 1.2 to 1.8 mph",15.5,Walking
329,"Climbing hills, no load, steep grade (10-40%), 1.8 to 5.0 mph",16.3,Walking
330,"Climbing hills, 10 to 20 lb load, 5 to 10% grade, moderate",6.5,Walking
331,"Climbing hills, 21 to 40 lb load, 3 to 10% grade, moderate-to-brisk pace",7.5,Walking
332,"Climbing hills, 20+ pound load, 5 to 20% grade, moderate to brisk pace",10,Walking
333,"Hiking, cross country (Taylor Code 040)",6,Walking
334,"Hiking slowly or ambling through fields and hillsides, no load",3.8,Walking
335,"Hiking or walking at a normal pace through fields and hillsides, no load",5.3,Walking
336,"Marching, moderate speed, military, no pack",4.5,Walking
337,"Marching rapidly, military, no pack",8,Walking
338,Race walking,6.5,Walking
339,"Stair climbing, general",6.8,Walking
340,"Stair climbing, slow pace",4.5,Walking
341,"Stair climbing, fast pace, one step at a time",9.3,Walking
342,"Stair climbing, two steps at a time",7.5,Walking
343,"Stair climbing, ascending and descending stairs",7.5,Walking
344,"Walking, less than 2.0 mph, level, strolling, very slow",2.3,Walking
345,"Walking, 2.0 to 2.4 mph, level, slow pace, firm surface",2.8,Walking
346,"Walking, 2.5 mph, firm, level surface",3,Walking
347,"Walking, 2.5 mph, downhill",3.3,Walking
348,"Walking, 2.8 to 3.4 mph, level, moderate pace, firm surface",3.8,Walking
349,"Walking, 3.5 to 3.9 mph, level, brisk, firm surface, walking for exercise",4.8,Walking
350,"Walking, 4.0 to 4.4 mph (6.4 to 7.0 km/h), level, firm surface, very brisk pace",5.5,Walking
351,"Walking, 4.5 to 4.9 mph, level, firm surface, very, very brisk",7,Walking
352,"Walking, 5.0 to 5.5 mph (8.8 to 8.9 km/h), level, firm surface",8.5,Walking
353,"Walking, self-selected speed, indoor track or outdoors, firm surface",4,Walking
354,"Walking, grass track",4.8,Walking
355,"Walking, normal pace, plowed field or sand",4.5,Walking
356,"Walking, for exercise, 2.5 to 3.5 mph (4.0 to 5.6 km/h), with ski poles, Nordic walking, level, moderate pace",4.3,Walking
357,"Walking, for exercise, 3.6 to 4.4 mph (5.8 to 7.1 km/h), with ski poles, Nordic walking, level, moderate pace",5.3,Walking
358,"Walking, for exercise, 4.5 to 5.0 mph, with ski poles, Nordic walking, level, fast pace",8.5,Walking
359,"Walking, for exercise, with ski poles, Nordic walking, uphill, moderate pace",8.8,Walking
360,"Walking, for exercise, with ski poles, Nordic walking, level ground, carrying 20 to 30 lb load (9.0 to 15.0 kg)",10.8,Walking
361,"Walking, for exercise, with ski poles, Nordic walking, uphill, carrying 20 to 30 lb load (9.0 to 15.0 kg)",12.3,Walking
362,"Walking, backward, 3.5 mph, level",6,Walking
363,"Walking, backward, 3.5 mph, uphill, 5% grade",7.8,Walking
364,"Walking, treadmill, less than 1.0 mph, 0% grade",2.1,Walking
365,"Walking, treadmill, 1.0 mph, 0% grade",2.3,Walking
366,"Walking, treadmill, 1.2 to 1.9 mph, 0% grade (1.9 to 3.0 km/h)",2.8,Walking
367,"Walking, treadmill, 2.0 to 2.4 mph (3.2 to 3.9 km/h), 0% grade",3,Walking
368,"Walking, treadmill, 2.5 to 2.9 mph (4.0 to 4.7 km/h), 0% grade",3.5,Walking
369,"Walking, treadmill, 3.0 to 3.4 mph (4.8 to 5.5 km/h), 0% grade",3.8,Walking
370,"Walking, treadmill, 3.5 to 3.9 mph (5.6 to 6.3 km/h), 0% grade",4.8,Walking
371,"Walking, treadmill, 4.0 to 4.4 mph (6.4 to 7.1 km/h), 0% grade",5.8,Walking
372,"Walking, treadmill, 4.5 to 4.9 mph (7.2 to 7.9 km/h), 0% grade",6.8,Walking
373,"Walking, treadmill, 5.0 to 5.5 mph (8.0 to 8.9 km/h), 0% grade",8.3,Walking
374,"Walking, treadmill, downhill (-3% to -12% grade), 2.8 to 3.1 mph",3.3,Walking
375,"Walking, treadmill, downhill (-5% to -25% grade), 2.8 mph, with Nordic Poles",3.3,Walking
376,"Walking, treadmill, 2.5 mph, 0% grade, 5 to 20 degrees C, 40 lb (18.2 kg) load",4.8,Walking
377,"Walking, treadmill, 2.5 mph, 0% grade, -10 to 0 degrees C, 40 lb (18.2 kg) load",5.8,Walking
378,"Walking, Curved treadmill, 3.0 to 5.0 mph, brisk pace",8.3,Walking
379,"Walking treadmill, backwards, 2.5 mph, +10% grade",7.8,Walking
380,"Boating, power, driving",2.5,Water Activities
381,"Boating, power, passenger, light",1.3,Water Activities
382,"Canoeing, rowing, 2.0-3.9 mph, light effort",2.8,Water Activities
383,"Canoeing, rowing, 4.0-5.9 mph, moderate effort",5.8,Water Activities
384,"Canoeing, rowing, kayaking, competition, > 6 mph, vigorous effort",12.5,Water Activities
385,"Canoeing, rowing, for pleasure, general",3.5,Water Activities
386,"Diving, springboard or platform",3,Water Activities
387,"Kayaking, moderate effort",5,Water Activities
388,"Kayaking, competition",13.5,Water Activities
389,"Kayaking, slalom, flat water",9,Water Activities
390,Paddle boat,4,Water Activities
391,"Rowing, simulated crew in a water tank, single oar, 33 strokes/min,",15.5,Water Activities
392,"Rowing, single scull, ergometer, ergometer on slides, racing speed (32+ strokes/min, >10 mph)",15.5,Water Activities
393,"Sailing, boat and board sailing, windsurfing, ice sailing, general",3,Water Activities
394,"Sailing, in competition, general",4.5,Water Activities
395,"Sailing, in competition, high effort",9.3,Water Activities
396,"Sailing, Sunfish/Laser/Hobby Cat, Keel boats, ocean sailing, yachting, leisure",3.3,Water Activities
397,"Sailing, dingy",2,Water Activities
398,"Skiing, water or wake boarding",6,Water Activities
399,"Jet skiing, driving, in water",7,Water Activities
400,"Skindiving, fast",15.8,Water Activities
401,"Skindiving, moderate",11.8,Water Activities
402,"Skindiving, scuba diving, general",7,Water Activities
403,"Scuba diving, general, light effort",5.3,Water Activities
404,"Scuba diving, general, moderate effort",5.8,Water Activities
405,"Scuba diving, professional diver",5.5,Water Activities
406,"Scuba diving, recreational diver",6.8,Water Activities
407,Snorkeling,5,Water Activities
408,"Surfing, body or board, general",3,Water Activities
409,"Surfboard, paddling",6.8,Water Activities
410,"Surfing, body or board, competitive",5,Water Activities
411,"Stand up paddle boarding, general",6.5,Water Activities
412,"Stand up Paddleboard, standing, 10-19 strokes/min",2.8,Water Activities
413,"Stand up Paddleboard, standing, 20-29 strokes/min",3.8,Water Activities
414,"Stand up Paddleboard, standing, 30-39 strokes/min",5,Water Activities
415,"Stand up Paddleboard, standing, 40-49 strokes/min",9.8,Water Activities
416,"Stand up Paddleboard, standing, 50-69 strokes/min",11,Water Activities
417,"Swimming laps, freestyle, fast, vigorous effort",9.8,Water Activities
418,"Swimming laps, freestyle, slow, recreational",5.8,Water Activities
419,"Swimming, backstroke, training or competition",9.5,Water Activities
420,"Swimming, backstroke, recreational",4.8,Water Activities
421,"Swimming, breaststroke, general, training or  competition",10.3,Water Activities
422,"Swimming breaststroke, recreational",5.3,Water Activities
423,"Swimming, butterfly, general",13.8,Water Activities
424,"Swimming, crawl, fast speed, ~75 yards/minute,  vigorous effort",10.5,Water Activities
425,"Swimming, open water, 5k",10.5,Water Activities
426,"Swimming, crawl, medium speed, ~50 yards/minute, vigorous effort",8,Water Activities
427,"Swimming, crawl, slow speed, 30-45 yards/minute, moderate effort",5.8,Water Activities
428,"Swimming, crawl, elite swimmers, competition, >90 yards/minute",14.5,Water Activities
429,"Swimming, lake, ocean, river",6,Water Activities
430,"Swimming, leisurely, not lap swimming, general",6,Water Activities
431,"Swimming, sidestroke, general",7,Water Activities
432,"Swimming, synchronized",8,Water Activities
433,"Swimming, treading water, fast, vigorous effort",9.8,Water Activities
434,"Swimming, treading water, moderate effort,  general",3.5,Water Activities
435,"Tubing, floating on a river, general",2.3,Water Activities
436,"Water aerobics, water calisthenics, general",5.5,Water Activities
437,"Water aerobics, resistance exercises",3.8,Water Activities
438,"Water aerobics, high intensity",7.5,Water Activities
439,Water polo,10,Water Activities
440,Water volleyball,3,Water Activities
441,"Water jogging, vigorous effort",9.8,Water Activities
