idx,name,met,tags
167,"Tai chi, general",3.6,Sports
168,"Tennis, general",6.8,Sports
169,"Trampoline, recreational",6.3,Sports
170,"Volleyball, non-competitive, 6 - 9 member team, general",3,Sports
171,"Volleyball, beach, in sand",8,Sports
172,"Wallyball, general",7,Sports
173,"Track and field (e.g., shot, discus, hammer throw)",4,Sports
174,"Track and field (e.g., high jump, long jump, triple jump, javelin, pole vault)",6,Sports
175,"Track and field (e.g., steeplechase, hurdles)",10,Sports
176,"Climbing hills, general",8.68,Walking
177,"Hiking, cross country",6,Walking
178,"Hiking slowly or ambling through fields and hillsides, no load",3.8,Walking
179,"Hiking or walking at a normal pace through fields and hillsides, no load",5.3,Walking
180,"Marching, moderate speed, military, no pack",4.5,Walking
181,"Marching rapidly, military, no pack",8,Walking
182,Race walking,6.5,Walking
183,"Stair climbing, general",6.8,Walking
184,"Stair climbing, slow pace",4.5,Walking
185,"Stair climbing, fast pace, one step at a time",9.3,Walking
186,"Stair climbing, two steps at a time",7.5,Walking
187,"Stair climbing, ascending and descending stairs",7.5,Walking
188,"Walking, general",4.53,Walking
189,Nordic walking,8.33,Walking
190,"Walking, backward, 3.5 mph, level",6,Walking
191,"Walking, backward, 3.5 mph, uphill, 5% grade",7.8,Walking
192,"Walking, treadmill, general",4.78,Walking
193,"Boating, power, driving",2.5,Water Activities
194,"Boating, power, passenger, light",1.3,Water Activities
195,"Canoeing, rowing, for pleasure, general",3.5,Water Activities
196,"Diving, springboard or platform",3,Water Activities
197,"Kayaking, moderate effort",5,Water Activities
198,"Kayaking, slalom, flat water",9,Water Activities
199,Paddle boat,4,Water Activities
200,"Rowing, simulated crew in a water tank, single oar, 33 strokes/min,",15.5,Water Activities
201,"Rowing, single scull, ergometer, ergometer on slides, racing speed (32+ strokes/min, >10 mph)",15.5,Water Activities
202,"Sailing, boat and board sailing, windsurfing, ice sailing, general",3,Water Activities
203,"Sailing, Sunfish/Laser/Hobby Cat, Keel boats, ocean sailing, yachting, leisure",3.3,Water Activities
204,"Sailing, dingy",2,Water Activities
205,"Skiing, water or wake boarding",6,Water Activities
206,"Jet skiing, driving, in water",7,Water Activities
207,"Skindiving, fast",15.8,Water Activities
208,"Skindiving, moderate",11.8,Water Activities
209,"Skindiving, scuba diving, general",7,Water Activities
210,"Scuba diving, general, light effort",5.3,Water Activities
211,"Scuba diving, general, moderate effort",5.8,Water Activities
212,"Scuba diving, professional diver",5.5,Water Activities
213,"Scuba diving, recreational diver",6.8,Water Activities
214,Snorkeling,5,Water Activities
215,"Surfing, body or board, general",3,Water Activities
216,"Surfboard, paddling",6.8,Water Activities
217,"Stand up paddle boarding, general",6.5,Water Activities
218,"Swimming, general",8.27,Water Activities
219,"Tubing, floating on a river, general",2.3,Water Activities
220,"Water aerobics, water calisthenics, general",5.5,Water Activities
221,"Water aerobics, resistance exercises",3.8,Water Activities
222,"Water aerobics, high intensity",7.5,Water Activities
223,Water polo,10,Water Activities
224,Water volleyball,3,Water Activities
225,"Water jogging, vigorous effort",9.8,Water Activities
226,"Water walking, light effort, slow pace",2.5,Water Activities
227,"Water walking, moderate effort, moderate pace",4.8,Water Activities
228,"Water walking, vigorous effort, brisk pace",6.8,Water Activities
229,"Whitewater rafting, kayaking, or canoeing",5,Water Activities
230,"Water running, general",8.08,Water Activities
231,"Windsurfing, not pumping for speed",5,Water Activities
232,"Windsurfing or kitesurfing, crossing trial",11,Water Activities
233,"Aquatic cycling, general",6.13,Water Activities
234,"Dog sledding, mushing",7.5,Winter Activities
235,"Dog sledding, passenger",2.5,Winter Activities
236,"Moving icehouse, set up/drill holes",6,Winter Activities
237,Ice fishing,2,Winter Activities
238,"Skating, ice, general",7,Winter Activities
239,"Skating Treadmill, general",10.13,Winter Activities
240,"Ski jumping, climb up carrying skis",7,Winter Activities
241,"Skiing, general",7,Winter Activities
242,"Sledding, tobogganing, bobsledding, luge",7,Winter Activities
243,"Snowboarding, recreational, moderate pace, mountain",7.5,Winter Activities
244,"Skiing, roller, elite racers",12.5,Winter Activities
245,"Rollerskiing, no incline",9.22,Winter Activities
246,"Rollerskiing, 2-5 degree incline",13.4,Winter Activities
247,"Rollerskiing, 6-10 degree incline",14.15,Winter Activities
248,"Mountaineering, downhill climbing, walking down with rope",9,Winter Activities
249,"Mountaineering, downhill climbing/cross-country skiing",10.3,Winter Activities
